time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1713199385.,2371270.87558,1675930460.33,7456655.74792,1710959747.,2908577.61891,1715548395.,8837933.6249,1616736099.8,37319338.1338
bdd,211005191.,968546.417452,205528111.8,1065278.27766,212850972.632,1137391.63877,212969424.842,927042.051457,191446350.,1741585.23434
cpdf-merge,8003467877.33,16905104.6463,6067602418.,nan,7682444995.33,17836935.9408,7652967175.,31892954.0985,4137946661.33,17631361.4713
cpdf-reformat,9038734252.,24370803.8445,7958446808.,nan,8856637212.75,74300678.3928,8764782246.67,24293464.714,6533668158.5,6117563.30881
cpdf-squeeze,14104542212.5,12457018.8469,12142694973.5,3800657.22958,13744195040.3,17925052.3683,13669229195.3,33339232.6203,9388836817.,14479703.467
cpdf-transform,2510229739.,14398652.7778,2179964785.67,17604610.7171,2357295912.33,10577716.2103,2317117009.,10307464.4933,2135950072.,13804514.0242
frama-c-deflate,,,,,,,,,26355465185.7,86700437.2467
frama-c-idct,,,,,,,,,180740344.,nan
jsontrip-sample,19122897.8476,259429.08424,18159851.,330227.922424,19268594.4904,308778.255226,21717651.9189,545657.043618,14490294.9061,373054.226991
kb,543264051.25,2203529.68315,465819785.444,928751.178541,524050511.625,1429494.60687,517536162.125,2775684.61117,433598158.6,5453224.02142
kb-no-exc,367101915.727,1768101.46049,318712307.846,7157579.75011,356168983.75,1105794.00572,346518120.667,2825950.5097,293848333.857,2899440.63918
lexifi-g2pp,9945448980.,4933441.58593,9837113542.67,10038826.358,9961057516.,12949355.151,9938627777.67,37245233.9287,9668092307.,7336027.79384
menhir-fancy,18893972.1651,1368054.44316,18155129.1674,115427.563805,19081144.3905,1865697.97199,19590076.2585,2535888.25299,10974691.6548,2284440.53466
menhir-sql,4245881276.67,27546331.0019,3513156367.,nan,4102658124.67,16722304.9597,4069886717.67,17347513.4322,3152390265.,17430387.4386
menhir-standard,14539776.9601,99638.3747723,14360427.2222,115385.956472,14576464.1709,99670.3972486,14974603.1978,125108.528053,7796869.95525,113215.759266
minilight,15299454625.7,34113557.6068,14779494521.7,20130983.7356,15126102464.7,44076308.818,16472926237.,36296275.238,12496790537.,4449608.01355
numal-durand-kerner-aberth,86705242.1915,325468.570355,82843183.102,232189.41937,87789573.,291672.173836,87343100.4348,1790726.38053,77188179.2885,432208.494718
numal-fft,4510253039.,3485179.41783,2331265609.,1088317.94642,3789877542.,28949587.4811,3711259989.67,20789972.6102,2220887006.33,10904910.9095
numal-k-means,228351095.556,634249.231843,224121473.056,815253.896407,235945561.235,3253208.66684,233429149.5,6254909.49985,77617404.4423,1181556.17276
numal-levinson-durbin,1600256976.,1319310.56639,1487805494.33,2789072.71132,1609482605.,579970.059883,1603988947.67,2505093.28198,1408208739.,1515043.77664
numal-lu-decomposition,937133603.4,15200010.2102,868270863.6,471205.141866,948168241.,22508886.3728,929854997.,5919055.63476,776530654.667,18572243.4742
numal-naive-multilayer,2742374970.67,4942000.33762,2570988223.,3650040.67338,2759992804.,6082384.99384,2765705598.33,12621635.4253,2365528898.,5312923.00973
numal-qr-decomposition,1309535613.75,3692880.41054,1160835700.25,801550.122279,1309561467.25,979339.20593,1313316718.75,6026071.97706,1171040714.25,4719168.04913
numal-rnd_access,5489552949.5,102174.808561,5358569112.33,9439062.40482,5524554248.,5294395.0565,6158929667.5,5387341.20695,4018951298.,11686191.1383
numal-simple_access,8513857346.67,7875589.20431,2503573418.,3501406.54633,8094636830.33,12825909.3074,8092308191.33,16565241.572,2987633629.75,37218776.0179
patdiff,,,,,,,,,220743913.684,5524551.51096
sauvola-contrast,,,,,,,,,1725460.,nan
sequence,836552688.,872842.700391,901730921.4,654553.147494,847256612.2,3084231.29546,836259272.2,563029.233602,844758034.6,960475.795707
sequence-cps,1210298244.,1228708.20889,1143263055.25,2479237.11309,1242452535.5,3596436.29107,1609352383.,5542729.02686,873405254.6,11986512.7246
setrip,1004988044.75,15124053.8973,967769970.2,3292584.99949,1000150080.5,14637042.8936,1000310702.25,2290146.66455,896201673.,7305321.07105
setrip-smallbuf,991072171.2,10630193.3724,979667466.2,19676851.1786,991646945.8,9218524.30438,1001766540.,11410694.1759,888881580.4,5158800.40373

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,869791.,0.,791238.,0.,879800.,0.,869679.,0.,722441.,0.
bdd,903604.,0.,823859.,0.,914997.,0.,903492.,0.,748542.,0.
cpdf-merge,5595511.,0.,5425150.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-reformat,5595511.,0.,5425150.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-squeeze,5595511.,0.,5425150.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-transform,5595511.,0.,5425150.,0.,5671736.,0.,5595399.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,14161081.,0.
jsontrip-sample,1762650.,0.,1656161.,0.,1788627.,0.,1762538.,0.,1406209.,0.
kb,943565.,0.,862836.,0.,956886.,0.,943453.,0.,787631.,0.
kb-no-exc,947604.,0.,866827.,0.,961109.,0.,947492.,0.,791390.,0.
lexifi-g2pp,1085343.,0.,1000918.,0.,1100072.,0.,1085231.,0.,902335.,0.
menhir-fancy,4138156.,0.,3967979.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-sql,4138156.,0.,3967979.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-standard,4138156.,0.,3967979.,0.,4219333.,0.,4138044.,0.,3271407.,0.
minilight,1724039.,0.,1615102.,0.,1746360.,0.,1723927.,0.,1337342.,0.
