time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1726623723.2,33991604.1699,1670404663.33,1549109.68228,1709614467.33,543400.423859,1710995380.,1435253.50753,1600342135.33,2009992.44655
bdd,211141264.842,813141.821367,205204727.85,906467.547035,212783319.737,827485.403997,214480799.474,6078431.40529,192294240.048,5765960.89827
cpdf-merge,8000748941.,36071188.3794,6008200324.,nan,7697414457.5,813381.394865,7640082159.,48073772.4283,4124587166.67,14860860.1578
cpdf-reformat,9039940968.5,3855032.32684,7861914779.,nan,8817890474.,18339678.7824,8774673788.33,34722010.2855,6539414241.67,14999532.9984
cpdf-squeeze,14047113008.,11875158.3543,12060832524.7,45363767.5032,13746945385.,7191073.73213,13668322981.,10157777.0021,9417025239.67,62875689.7101
cpdf-transform,2514994289.67,13699465.0888,2171705471.67,15578405.1268,2361732277.,23694516.36,2318119490.33,10694072.679,2142514233.,3917330.57257
frama-c-deflate,,,,,,,,,26445813517.7,125950968.211
frama-c-idct,,,,,,,,,179132375.,nan
jsontrip-sample,19128118.1619,277356.377638,17752192.3805,325715.895272,19290583.4952,271576.466562,21694776.0216,530899.094515,14480368.8556,452985.623086
kb,543307041.375,1528024.90812,465920445.,3681183.84944,526680402.875,8583053.47929,516830375.,1643041.07581,430926887.7,3692383.1462
kb-no-exc,369340811.273,5612174.06035,315571647.615,1868058.32182,357253493.,3594994.64059,350533799.333,8288949.73612,292559079.214,1566362.92469
lexifi-g2pp,9950825681.,544919.112999,9821943933.,9104851.16434,9966572731.,6381876.28809,10035567519.,78791520.9304,9667082134.,20455624.2036
menhir-fancy,18808696.2535,350752.652222,15161522.0871,303659.86499,18842356.7512,166544.043635,19505513.7816,2286261.11897,10546367.8895,976027.13487
menhir-sql,4256744546.67,28413804.0046,3428395800.,nan,4126379165.,50941764.9435,4064541625.,17577671.7615,3147111546.75,23975877.774
menhir-standard,14531029.1196,101823.45716,11428220.4302,80141.7782646,14545302.9529,81058.7823549,15023166.8165,126400.460089,7782672.69261,59463.0295357
minilight,15289334024.,15020534.78,14611528716.,56373631.4626,15123302295.5,12164658.4771,16422075623.,67560024.9643,12467704974.,4846680.99809
numal-durand-kerner-aberth,86862944.5957,243394.089073,82088840.2653,245990.652401,87851826.2391,209841.195674,87199219.3261,262215.734918,76866845.9434,277046.957938
numal-fft,4521865559.67,30995998.0678,2366912499.,15813118.4015,3788239726.,7619063.88774,3723789184.67,6817247.39345,2213600335.,6331041.67225
numal-k-means,228698908.333,2230967.88137,89925237.4,1035282.49406,229819308.722,3118073.57632,223073403.5,2464248.72832,77373359.1538,825732.009569
numal-levinson-durbin,1598826893.33,775108.345584,1489210659.75,15755276.2003,1609204924.33,432072.964258,1601541636.67,1113076.29308,1408279713.67,332525.527697
numal-lu-decomposition,923521937.4,2674045.3155,855741775.6,8423390.38956,936999542.4,457381.034862,928226703.4,10752947.7973,766747262.,3274836.61539
numal-naive-multilayer,2741059040.,2778720.86575,2567065760.,38384588.2031,2764693487.67,5976013.01963,2759161879.,4583905.56849,2369225321.5,1204632.06218
numal-qr-decomposition,1308383715.,1577447.01415,1144761977.25,811728.99993,1308939640.75,805090.635445,1311376413.25,3669915.69564,1174058235.75,266996.826622
numal-rnd_access,5493209588.33,9076804.76378,5359130712.67,8726118.3815,5522462390.5,2303480.24278,6148334837.5,222886.421391,4010800623.,719652.269698
numal-simple_access,8528350225.,30534584.1277,2672786699.33,12711751.6166,8231437202.6,190312151.361,8121797225.33,27387924.2958,2962549495.5,1597961.62343
patdiff,,,,,,,,,219923500.368,5277950.25627
sauvola-contrast,,,,,,,,,1775037.,nan
sequence,836700643.8,1130869.42029,895626952.6,832677.245926,845572340.2,570478.488416,837168662.2,996173.836037,844858861.6,509724.294481
sequence-cps,1214141176.,4997232.28877,1142393428.75,9111655.8823,1243399957.25,6585252.6605,1610818966.,2213099.29414,867951382.4,3255598.96514
setrip,990443249.4,9825278.37571,964195168.2,6968196.73075,994478532.2,10694214.2188,1002163270.25,11120709.4509,889460936.8,9242063.06632
setrip-smallbuf,992587150.,13274949.4458,968895801.6,14479974.423,1001326645.6,17606840.2156,1007353179.75,11566729.9311,892892460.4,12557072.9113

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,869791.,0.,791070.,0.,879800.,0.,869679.,0.,722441.,0.
bdd,903604.,0.,823691.,0.,914997.,0.,903492.,0.,748542.,0.
cpdf-merge,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-reformat,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-squeeze,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-transform,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,14161081.,0.
jsontrip-sample,1762650.,0.,1655993.,0.,1788627.,0.,1762538.,0.,1406209.,0.
kb,943565.,0.,862668.,0.,956886.,0.,943453.,0.,787631.,0.
kb-no-exc,947604.,0.,866659.,0.,961109.,0.,947492.,0.,791390.,0.
lexifi-g2pp,1085343.,0.,1000750.,0.,1100072.,0.,1085231.,0.,902335.,0.
menhir-fancy,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-sql,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-standard,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
minilight,1724039.,0.,1614934.,0.,1746360.,0.,1723927.,0.,1337342.,0.
numal-durand-kerner-aberth,1037652.,0.,952635.,0.,1052229.,0.,1037540.,0.,844422.,0.
numal-fft,900000.,0.,820135.,0.,911177.,0.,899888.,0.,746026.,0.
numal-k-means,14137870.,0.,13644405.,0.,14152447.,0.,14137758.,0.,8398720.,0.
numal-levinson-durbin,608429.,0.,538556.,0.,610710.,0.,608317.,0.,503251.,0.
numal-lu-decomposition,1651320.,0.,1528319.,0.,1665817.,0.,1651208.,0.,1210786.,0.
numal-naive-multilayer,1316065.,0.,1224336.,0.,1332130.,0.,1315953.,0.,1074833.,0.
numal-qr-decomposition,1110794.,0.,1024513.,0.,1125331.,0.,1110682.,0.,918732.,0.
numal-rnd_access,588891.,0.,516402.,0.,593108.,0.,588779.,0.,458023.,0.
numal-simple_access,492166.,0.,422485.,0.,494367.,0.,492054.,0.,387684.,0.
patdiff,,,,,,,,,18398479.,0.
sauvola-contrast,,,,,,,,,1935177.,0.
sequence,1037569.,0.,952992.,0.,1053034.,0.,1037457.,0.,859363.,0.
sequence-cps,845648.,0.,767871.,0.,855825.,0.,845536.,0.,704194.,0.
setrip,1466236.,0.,1367595.,0.,1487901.,0.,1466124.,0.,1167971.,0.
setrip-smallbuf,1466236.,0.,1367595.,0.,1487901.,0.,1466124.,0.,1167971.,0.

code_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,619315.,0.,605114.,0.,624204.,0.,619203.,0.,528085.,0.
bdd,652552.,0.,637159.,0.,658153.,0.,652440.,0.,554346.,0.
cpdf-merge,3675159.,0.,3569150.,0.,3712984.,0.,3675047.,0.,3124099.,0.
cpdf-reformat,3675159.,0.,3569150.,0.,3712984.,0.,3675047.,0.,3124099.,0.
cpdf-squeeze,3675159.,0.,3569150.,0.,3712984.,0.,3675047.,0.,3124099.,0.
cpdf-transform,3675159.,0.,3569150.,0.,3712984.,0.,3675047.,0.,3124099.,0.
frama-c-deflate,,,,,,,,,10199177.,0.
frama-c-idct,,,,,,,,,10199177.,0.
jsontrip-sample,1329162.,0.,1287025.,0.,1342019.,0.,1329050.,0.,1061489.,0.
kb,683105.,0.,666728.,0.,689610.,0.,682993.,0.,583483.,0.
kb-no-exc,686408.,0.,669983.,0.,693001.,0.,686296.,0.,586538.,0.
lexifi-g2pp,787507.,0.,767434.,0.,794780.,0.,787395.,0.,664427.,0.
menhir-fancy,3040724.,0.,2934931.,0.,3081197.,0.,3040612.,0.,2368895.,0.
menhir-sql,3040724.,0.,2934931.,0.,3081197.,0.,3040612.,0.,2368895.,0.
menhir-standard,3040724.,0.,2934931.,0.,3081197.,0.,3040612.,0.,2368895.,0.
minilight,1304983.,0.,1260398.,0.,1316072.,0.,1304871.,0.,1014158.,0.
numal-durand-kerner-aberth,763464.,0.,742967.,0.,770617.,0.,763352.,0.,634322.,0.
numal-fft,650548.,0.,635203.,0.,656029.,0.,650436.,0.,553238.,0.
numal-k-means,11433954.,0.,11005009.,0.,11441139.,0.,11433842.,0.,7160108.,0.
numal-levinson-durbin,337345.,0.,331992.,0.,338666.,0.,337233.,0.,283743.,0.
numal-lu-decomposition,1202956.,0.,1144475.,0.,1210061.,0.,1202844.,0.,891886.,0.
numal-naive-multilayer,900429.,0.,873220.,0.,908398.,0.,900317.,0.,733333.,0.
numal-qr-decomposition,780126.,0.,758365.,0.,787303.,0.,780014.,0.,651928.,0.
numal-rnd_access,412431.,0.,404462.,0.,414760.,0.,412319.,0.,336339.,0.
numal-simple_access,335002.,0.,329841.,0.,336275.,0.,334890.,0.,281968.,0.
patdiff,,,,,,,,,14145607.,0.
sauvola-contrast,,,,,,,,,1451769.,0.
sequence,761845.,0.,741788.,0.,769406.,0.,761733.,0.,643119.,0.
sequence-cps,606084.,0.,592827.,0.,611045.,0.,605972.,0.,519374.,0.
setrip,1101420.,0.,1067299.,0.,1112237.,0.,1101308.,0.,882227.,0.
setrip-smallbuf,1101420.,0.,1067299.,0.,1112237.,0.,1101308.,0.,882227.,0.

data_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,250476.,0.,185956.,0.,255596.,0.,250476.,0.,194356.,0.
bdd,251052.,0.,186532.,0.,256844.,0.,251052.,0.,194196.,0.
cpdf-merge,1920352.,0.,1855832.,0.,1958752.,0.,1920352.,0.,1790824.,0.
cpdf-reformat,1920352.,0.,1855832.,0.,1958752.,0.,1920352.,0.,1790824.,0.
cpdf-squeeze,1920352.,0.,1855832.,0.,1958752.,0.,1920352.,0.,1790824.,0.
cpdf-transform,1920352.,0.,1855832.,0.,1958752.,0.,1920352.,0.,1790824.,0.
frama-c-deflate,,,,,,,,,3961904.,0.
frama-c-idct,,,,,,,,,3961904.,0.
jsontrip-sample,433488.,0.,368968.,0.,446608.,0.,433488.,0.,344720.,0.
kb,260460.,0.,195940.,0.,267276.,0.,260460.,0.,204148.,0.
kb-no-exc,261196.,0.,196676.,0.,268108.,0.,261196.,0.,204852.,0.
lexifi-g2pp,297836.,0.,233316.,0.,305292.,0.,297836.,0.,237908.,0.
menhir-fancy,1097432.,0.,1032880.,0.,1138136.,0.,1097432.,0.,902512.,0.
menhir-sql,1097432.,0.,1032880.,0.,1138136.,0.,1097432.,0.,902512.,0.
menhir-standard,1097432.,0.,1032880.,0.,1138136.,0.,1097432.,0.,902512.,0.
minilight,419056.,0.,354536.,0.,430288.,0.,419056.,0.,323184.,0.
numal-durand-kerner-aberth,274188.,0.,209668.,0.,281612.,0.,274188.,0.,210100.,0.
numal-fft,249452.,0.,184932.,0.,255148.,0.,249452.,0.,192788.,0.
numal-k-means,2703916.,0.,2639396.,0.,2711308.,0.,2703916.,0.,1238612.,0.
numal-levinson-durbin,271084.,0.,206564.,0.,272044.,0.,271084.,0.,219508.,0.
numal-lu-decomposition,448364.,0.,383844.,0.,455756.,0.,448364.,0.,318900.,0.
numal-naive-multilayer,415636.,0.,351116.,0.,423732.,0.,415636.,0.,341500.,0.
numal-qr-decomposition,330668.,0.,266148.,0.,338028.,0.,330668.,0.,266804.,0.
numal-rnd_access,176460.,0.,111940.,0.,178348.,0.,176460.,0.,121684.,0.
numal-simple_access,157164.,0.,92644.,0.,158092.,0.,157164.,0.,105716.,0.
patdiff,,,,,,,,,4252872.,0.
sauvola-contrast,,,,,,,,,483408.,0.
sequence,275724.,0.,211204.,0.,283628.,0.,275724.,0.,216244.,0.
sequence-cps,239564.,0.,175044.,0.,244780.,0.,239564.,0.,184820.,0.
setrip,364816.,0.,300296.,0.,375664.,0.,364816.,0.,285744.,0.
setrip-smallbuf,364816.,0.,300296.,0.,375664.,0.,364816.,0.,285744.,0.

minor_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,12771504.,0.,1499296.,0.,12771504.,0.,12771504.,0.,11689154.,0.
bdd,78354228.,0.,78092088.,0.,78354228.,0.,78354228.,0.,76776856.,0.
cpdf-merge,197558412.,0.,182077657.,nan,197558831.,0.,197558790.,0.,197535883.,0.
cpdf-reformat,449515968.,0.,442438042.,nan,449515991.,0.,449515968.,0.,448744421.,0.
cpdf-squeeze,403656418.,0.,396486390.,0.,403656441.,0.,403656418.,0.,403639819.,0.
cpdf-transform,55783345.,0.,55259047.,0.,55783365.,0.,55783345.,0.,55760053.,0.
frama-c-deflate,,,,,,,,,2473364456.33,74285.3497423
frama-c-idct,,,,,,,,,23799682.,nan
jsontrip-sample,7738822.,0.,5379543.,0.,7738822.,0.,7738822.,0.,7160780.,0.
kb,91531263.,0.,90744306.,0.,91531263.,0.,91531263.,0.,90578323.,0.
kb-no-exc,37609474.,0.,37347329.,0.,37609474.,0.,37609474.,0.,37503337.,0.
lexifi-g2pp,1679022385.,0.,1664604581.,0.,1679022387.,0.,1679022385.,0.,1678613459.,0.
menhir-fancy,2670368.,0.,1359643.,0.,2670371.,0.,2670368.,0.,2238237.,0.
menhir-sql,1033056830.,0.,1005055011.,nan,1033056833.,0.,1033056830.,0.,1032167253.,0.
menhir-standard,3109559.,0.,2585245.,0.,3109561.,0.,3109559.,0.,1432099.,0.
minilight,9747578753.,0.,9653994739.,0.,9747578753.,0.,9747578753.,0.,9747431685.,0.
numal-durand-kerner-aberth,77977828.,0.,77191398.,0.,77977830.,0.,77977828.,0.,77414786.,0.
numal-fft,265590810.,0.,256386827.,0.,265590812.,0.,265590810.,0.,264242358.,0.
numal-k-means,104274928.,0.,2563546.,0.,104274928.,0.,104274928.,0.,102494197.,0.
