time_real,4.06.1+trunk+bench,
almabench,1600942981.67,4905296.84642
bdd,191349452.333,1351455.95385
cpdf-merge,4138164668.33,33344253.6106
cpdf-reformat,6532174248.33,12283390.756
cpdf-squeeze,9402242780.67,74574732.8611
cpdf-transform,2132998574.,5051852.05632
frama-c-deflate,26310664212.,87050922.7413
frama-c-idct,178790499.,nan
jsontrip-sample,14565614.3564,580459.212801
kb,431859483.2,3402951.95995
kb-no-exc,295315873.571,3222155.21363
lexifi-g2pp,9693716667.67,60586799.5924
menhir-fancy,10409343.1247,336541.429263
menhir-sql,3134690675.,16720277.0375
menhir-standard,7773525.13592,59187.3256667
minilight,12479674563.,11648123.3374
numal-durand-kerner-aberth,76963719.9231,224452.607295
numal-fft,2214957609.33,13133485.755
numal-k-means,77321655.9808,881809.557434
numal-levinson-durbin,1410220459.33,107803.396581
numal-lu-decomposition,766117613.,2936663.76997
numal-naive-multilayer,2366687729.5,939486.818222
numal-qr-decomposition,1173791466.75,365038.834754
numal-rnd_access,4019318388.,3730643.05164
numal-simple_access,2970947847.,2300868.89744
patdiff,219575850.211,5427050.97606
sauvola-contrast,1775397.,nan
sequence,846396736.2,4524730.29994
sequence-cps,873085384.2,20241066.7905
setrip,891496804.2,11011369.3749
setrip-smallbuf,895154593.8,11194397.4679

