time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1668522365.,133915.174521,1668586097.67,772887.005315,1611065374.,19014356.7273,1599030815.67,422023.254271
bdd,206281681.1,1559112.97111,206536502.15,958739.234452,190751397.048,1334426.03388,191141906.714,1115647.04288
cpdf-merge,5412106039.,nan,5368945130.,nan,3929011655.33,4372643.14454,4115900333.,23099829.3081
cpdf-reformat,7552050971.,nan,7576444011.,nan,6520455400.,2694322.90948,6542503235.,21386134.8055
cpdf-squeeze,11504625931.7,21992196.5679,11556740672.,2792194.97328,9439977646.,8301266.73393,9373842098.33,15205972.4212
cpdf-transform,2106064001.33,11809224.1716,2109288356.,5711669.69621,2177254657.33,12220670.8443,2137412554.,11893126.3527
frama-c-deflate,,,,,,,26408098430.3,129765144.808
frama-c-idct,,,,,,,179245636.,nan
jsontrip-sample,17911380.7232,489448.241833,17867316.6295,283657.090626,15351101.6322,319137.909523,14506704.558,361807.517234
kb,461598172.667,5484845.12648,459553907.222,798524.174801,423950441.4,4218710.92182,431281496.9,5428997.0419
kb-no-exc,303755876.,nan,304577349.,nan,284078425.6,1704620.09008,293593389.071,4009785.40558
lexifi-g2pp,9825223958.33,16963912.842,9834937481.,8418056.6572,9779658739.4,163597841.272,9667144792.,1426158.01012
menhir-fancy,15184413.4545,1438199.98011,15048530.9699,168718.000259,10343391.5736,903994.924595,10675905.288,871181.355331
menhir-sql,3279203878.,nan,3305068893.,nan,3086766895.67,25653486.0777,3154912724.25,28458588.6811
menhir-standard,11416001.8291,69822.6855227,11477118.9169,92759.9051938,7799253.57505,80079.2361016,7774785.87767,63159.5279738
minilight,14674634702.3,22717446.9191,14645574524.,1628434.39016,12543328391.,12566489.5832,12488985958.,54695061.6209
numal-durand-kerner-aberth,82130557.102,244014.720588,82225682.1429,246940.999261,77618887.6538,291763.919717,76829290.4717,252340.025944
numal-fft,2344157977.33,17612174.5618,2356788833.67,15224874.5473,2215484507.,35061945.0729,2237485970.2,39440959.6923
numal-k-means,89975085.5111,878611.913466,89973741.3333,847996.406454,77849480.0577,759541.19974,77561258.2692,1323230.86676
numal-levinson-durbin,1520219446.,2467412.92685,1520001585.67,1257978.5418,1417704864.67,5409860.10735,1407066286.,972739.741672
numal-lu-decomposition,854001335.2,2843560.82238,852970779.2,5823612.42969,774607161.333,2095929.29242,775009975.333,13763940.7378
numal-naive-multilayer,2501279848.,6917751.72138,2508613879.67,12382475.5146,2298667784.5,2148581.43129,2365150148.,2157305.00765
numal-qr-decomposition,1148037018.25,6029738.0848,1146520379.,2221670.25824,1170013433.25,517757.332013,1173999010.75,992188.390076
numal-rnd_access,5317677377.,1262853.11322,5316989421.,6941025.06547,4049523087.57,119560663.885,4018656072.,3905442.67637
numal-simple_access,2229897020.67,10685469.7867,2241531986.25,23680139.7614,2676759265.33,5455631.25976,2967699479.33,3484473.52707
patdiff,,,,,221553256.842,4768329.84697,220152995.368,5818492.28671
sauvola-contrast,,,,,,,1732811.,nan
sequence,819437882.8,325030.028516,820129881.6,1327453.19073,847796697.8,1536321.5233,844475429.2,454795.151084
sequence-cps,1147258627.,34197325.9769,1130815763.75,4597735.35614,883181133.375,32134771.4337,866750652.,7004033.86059
setrip,973626364.6,13742913.367,970996682.4,8994283.61158,896590720.2,7494383.79119,894642099.4,10367056.7439
setrip-smallbuf,967631810.6,13026960.0803,964956023.2,10352297.448,911634079.6,14961596.2729,897079148.,14294272.3404

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792024.,0.,792024.,0.,722528.,0.,722441.,0.
bdd,824677.,0.,824677.,0.,748629.,0.,748542.,0.
cpdf-merge,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-reformat,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-squeeze,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-transform,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
frama-c-deflate,,,,,,,14161081.,0.
frama-c-idct,,,,,,,14161081.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1406280.,0.,1406209.,0.
kb,863622.,0.,863622.,0.,787718.,0.,787631.,0.
kb-no-exc,867613.,0.,867613.,0.,791477.,0.,791390.,0.
lexifi-g2pp,1001736.,0.,1001736.,0.,902422.,0.,902335.,0.
menhir-fancy,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-sql,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-standard,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
minilight,1615920.,0.,1615920.,0.,1337413.,0.,1337342.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,844509.,0.,844422.,0.
numal-fft,821121.,0.,821121.,0.,746113.,0.,746026.,0.
numal-k-means,13645391.,0.,13645391.,0.,8398807.,0.,8398720.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,503338.,0.,503251.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1210873.,0.,1210786.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1074920.,0.,1074833.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,918819.,0.,918732.,0.
numal-rnd_access,517388.,0.,517388.,0.,458110.,0.,458023.,0.
numal-simple_access,423471.,0.,423471.,0.,387771.,0.,387684.,0.
patdiff,,,,,18398582.,0.,18398479.,0.
sauvola-contrast,,,,,,,1935177.,0.
sequence,953978.,0.,953978.,0.,859450.,0.,859363.,0.
sequence-cps,768825.,0.,768825.,0.,704281.,0.,704194.,0.
setrip,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606068.,0.,606068.,0.,528172.,0.,528085.,0.
bdd,638145.,0.,638145.,0.,554433.,0.,554346.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
frama-c-deflate,,,,,,,10199177.,0.
frama-c-idct,,,,,,,10199177.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1061560.,0.,1061489.,0.
kb,667682.,0.,667682.,0.,583570.,0.,583483.,0.
kb-no-exc,670937.,0.,670937.,0.,586625.,0.,586538.,0.
