time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1709385008.67,459275.217392,1672135449.67,4476245.62334,1714577925.67,8952780.40775,1679158619.25,13330080.9553,1710511974.33,2781443.786,1606349800.,15007511.4474
bdd,211585879.895,717863.830656,207221653.25,1451053.27722,212342028.316,827819.727834,209948454.85,1140960.29457,212782051.579,1173624.06216,191474483.714,1191203.09751
cpdf-merge,7975902168.5,60529.0475763,6047724549.,nan,7672179547.67,34586867.1969,31132373421.,nan,7609207484.33,28838445.6526,4119189062.33,18224773.9385
cpdf-reformat,9035850597.,15296092.9525,7913045964.,nan,8826152211.67,24690381.844,15052909298.,nan,8743941348.67,7369198.88909,6548107414.,27109979.5546
cpdf-squeeze,14049649123.3,35883484.4779,12081513472.,8388861.70777,13731674858.,21000995.3756,30214104244.5,22711458.7602,13606747365.3,18207912.3715,9403978238.67,13351724.7883
cpdf-transform,2507863275.5,2639006.6531,2162791312.,1286569.47466,2354343975.67,6158740.66254,2862074202.67,4028681.10152,2327340824.67,17646048.1071,2138561590.,12804573.3972
frama-c-deflate,,,,,,,,,,,26353803850.3,147906336.171
frama-c-idct,,,,,,,,,,,178866757.,nan
jsontrip-sample,19105566.5714,288808.418133,17758600.0973,294778.671276,19253326.8365,247135.496532,17697644.2775,312408.494115,21583806.0484,436459.563406,14477174.6101,346636.180225
kb,545575642.625,6890909.65503,467097592.111,2326529.42932,524695015.875,1793472.14525,500822915.889,4976437.64087,516195200.25,2363548.19312,429375154.1,1640643.45423
kb-no-exc,368899642.545,5250307.87006,317812701.,nan,355801207.167,1225002.60308,351070325.,nan,346184005.833,3979264.81339,294418561.929,3791333.18772
lexifi-g2pp,9932242461.5,2178493.46235,9854354874.,5030756.44959,10087952771.8,276436343.41,9837294780.67,23171552.4553,10011175901.4,168307379.653,9655480846.5,1021487.16321
menhir-fancy,18816021.4883,1370781.4776,15203296.9242,746775.945986,19093130.2667,1945001.43654,15631969.0391,1986140.82364,19279535.125,931465.6245,10469116.8982,316994.011942
menhir-sql,4270834028.,37849717.9433,3416746699.,nan,4088976784.,20215846.3051,7718776657.,nan,4081401332.,19137722.5832,3135501313.,15487985.4483
menhir-standard,14476140.1733,75130.4417104,11366334.2983,77074.5005451,14877923.5836,213303.976525,11468435.9112,193554.105289,14992200.6217,82477.9000639,7777192.99223,69288.6145748
minilight,15271333997.5,12167699.0363,14546201306.,35397149.4346,15164538247.,26724970.9663,14607409528.3,98251558.9807,16436350701.,17729134.1754,12486343027.7,30616261.181
numal-durand-kerner-aberth,86650554.2979,281601.136309,82004167.8163,269820.524931,87744341.7391,208245.878623,81927388.8367,199393.091615,87233402.2174,268584.07319,76975112.9808,280005.662858
numal-fft,4498689760.5,784930.246417,2365267974.67,20151721.408,3797363174.33,20639664.2144,2533048492.,19521154.3612,3741001925.,58359527.0789,2209535937.67,5643177.83394
numal-k-means,228407483.833,690078.505535,89845975.0889,1186644.57564,228899210.056,818291.636835,90546001.4889,1157258.4605,222335261.556,1477165.40653,77324592.5577,1403855.19706
numal-levinson-durbin,1601586590.67,5588898.14348,1482927001.67,2486002.16522,1608681702.67,677819.691433,1486559085.33,4119593.91466,1601708141.,280914.943227,1407462976.67,170691.991237
numal-lu-decomposition,922798114.8,2410348.69135,855363748.4,6219081.2717,937621025.4,8650274.5175,857233887.4,3453191.93161,922823349.8,4057719.78531,766946953.5,3604058.95898
numal-naive-multilayer,2769866181.,46780286.5776,2520120752.67,4895446.89978,2765582705.67,6654983.27101,2508891459.,12418584.0072,2794461135.8,64389517.962,2377217780.67,19474490.3986
numal-qr-decomposition,1307924565.25,573836.086586,1144790089.25,245090.343775,1308533735.5,927866.392669,1144487920.25,299781.799561,1309446869.75,2893065.2346,1177436387.,5170745.10297
