time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1709750647.33,120147.771641,1671333617.67,2950718.07094,1710545624.67,1609484.42601,1717341886.,14105246.6048,1601473015.,3750201.49476
bdd,210826139.842,798092.592097,204849923.,747493.775663,212296256.684,1132171.13787,213527775.105,1181384.47385,191666495.19,1699974.03458
cpdf-merge,8026864838.33,50862619.5036,5981159053.,nan,7684159404.,29649024.9319,7629561996.67,39766371.1886,4125664791.5,3392093.75984
cpdf-reformat,9082773810.,36100839.2491,7847984638.,nan,8797330021.,18545884.3386,8759505871.,2153818.97122,6524748664.5,1941437.32817
cpdf-squeeze,14125781189.7,43111266.8834,12060678329.7,21825911.2205,13749320422.7,29071016.9388,13693408453.7,46040961.1026,9381246818.33,17486803.7937
cpdf-transform,2515311789.67,2707901.23659,2164630404.33,9180663.23816,2356442466.,16384555.6808,2318333218.67,10299685.1207,2138820192.,4811555.98972
frama-c-deflate,,,,,,,,,26504931280.7,198848561.612
frama-c-idct,,,,,,,,,180814875.,nan
jsontrip-sample,19133937.3952,305957.321628,17750962.5133,324253.935553,19349394.4444,306311.302722,21656234.4054,465061.702404,14545600.6764,565427.379437
kb,543270667.5,2826669.00512,467033771.333,5658288.36287,525058785.125,2050874.59589,517864823.75,3073969.84368,428858190.8,1993842.70202
kb-no-exc,368505434.182,6663081.01158,317141063.769,4358493.01339,358819529.417,4181395.73875,345545743.75,1632435.32432,293001839.786,2442720.18333
lexifi-g2pp,9974868990.5,85149233.1374,9822635726.67,16145489.6603,9956315763.5,7037326.79759,9952686721.33,41726857.2539,9686073771.,26489952.2088
menhir-fancy,18766646.1402,110672.919361,15339720.023,1199140.82003,19323841.0145,2510984.65212,19486193.2913,2300744.49968,10727467.5737,1292981.74682
menhir-sql,4261090064.33,29266555.759,3424447696.,nan,4099260718.67,19912871.8534,4080446593.,3972409.93119,3132991080.33,15755074.0081
menhir-standard,14569572.9927,145454.186189,11408454.6439,100163.297819,14545648.9345,86550.9769646,14925381.6468,81618.4078744,7761819.04264,55120.5056479
minilight,15328834313.7,79501345.821,14526171698.3,18510793.567,15141426759.5,7690597.29688,16434158864.3,38711619.4551,12483701562.,29218002.6347
numal-durand-kerner-aberth,87019402.6957,219351.822115,81919859.4898,230662.661458,87759937.5652,272884.611698,86966177.8723,330371.917443,77015929.3654,251785.878573
numal-fft,4500733288.,11666400.7572,2364052274.25,23194833.8009,3784030580.33,7964102.67263,3716535807.67,27729325.4378,2208729810.,597418.963075
numal-k-means,228192828.5,838467.523835,89630005.6,872476.149602,236308065.706,3935776.45118,232807393.556,2455407.92496,77496863.8077,878901.44688
numal-levinson-durbin,1601087948.,6387810.3527,1481090537.,2085064.17,1609071870.33,1544856.76931,1607647170.,8367925.41049,1409428392.,3447774.34043
numal-lu-decomposition,933143825.6,20263354.8553,854379667.,3349657.2766,936887096.6,3429373.77183,924432986.2,1889308.46075,770138522.333,3200218.49731
numal-naive-multilayer,2749101808.,7309809.89704,2544037098.,16978699.8876,2768679949.,3794535.40816,2757232364.33,3948228.94567,2364169514.,1064726.03577
numal-qr-decomposition,1307765806.5,689272.478644,1146101650.,3240323.69865,1308566521.,442727.377924,1308509469.5,1269532.49827,1173814990.25,858992.112083
numal-rnd_access,5495342592.33,8740644.97429,5350245310.5,2184902.67822,5517414029.5,2453792.75969,6147711140.5,1265926.9064,4009520176.,134276.74932
numal-simple_access,8520545989.67,26534521.5285,2681010429.,39389305.7557,8085308678.67,10425302.2561,8124520055.67,9900600.60924,2977828109.75,34549069.0222
patdiff,,,,,,,,,218262281.526,4533216.13984
sauvola-contrast,,,,,,,,,1629387.,nan
sequence,836291340.,353933.146019,895552511.4,771907.39292,845558605.,381962.509605,836366994.,219025.205955,844531820.2,925016.371214
sequence-cps,1225423499.,22448375.4765,1140397916.5,6056520.05909,1246332028.75,15276827.5428,1623475688.6,31461012.4191,866994818.6,5417116.96715
setrip,990539380.2,13188683.7146,972156529.8,10065645.049,994752661.2,11614908.2139,1007650591.75,10494489.5571,890914047.,6876744.83691
setrip-smallbuf,992867908.2,12465395.8123,968846719.,13242118.8254,998985596.,14640978.0092,997078326.6,3643718.56855,888634133.2,9957053.00475

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,869791.,0.,791070.,0.,879800.,0.,869679.,0.,722441.,0.
bdd,903604.,0.,823691.,0.,914997.,0.,903492.,0.,748542.,0.
cpdf-merge,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-reformat,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-squeeze,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
cpdf-transform,5595511.,0.,5424982.,0.,5671736.,0.,5595399.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,14161081.,0.
jsontrip-sample,1762650.,0.,1655993.,0.,1788627.,0.,1762538.,0.,1406209.,0.
kb,943565.,0.,862668.,0.,956886.,0.,943453.,0.,787631.,0.
kb-no-exc,947604.,0.,866659.,0.,961109.,0.,947492.,0.,791390.,0.
lexifi-g2pp,1085343.,0.,1000750.,0.,1100072.,0.,1085231.,0.,902335.,0.
menhir-fancy,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-sql,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
menhir-standard,4138156.,0.,3967811.,0.,4219333.,0.,4138044.,0.,3271407.,0.
