time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1685007496.25,23409293.8172,1668586097.67,772887.005315,1610870634.75,16379873.2895
bdd,206102356.5,1198530.1709,206536502.15,958739.234452,191565315.714,2366059.61525
cpdf-merge,5399267877.,nan,5368945130.,nan,4118634238.67,20179573.4718
cpdf-reformat,7561766722.,nan,7576444011.,nan,6544036268.33,12584237.4031
cpdf-squeeze,11545480963.,52735864.1836,11556740672.,2792194.97328,9373037814.33,15808914.5472
cpdf-transform,2105441457.67,7546833.48523,2109288356.,5711669.69621,2130455846.,4207814.73072
frama-c-deflate,,,,,26373293287.3,99929746.5008
frama-c-idct,,,,,178808361.,nan
jsontrip-sample,17897743.2188,272835.077074,17867316.6295,283657.090626,14526151.5942,327439.225009
kb,462575749.889,5265727.6969,459553907.222,798524.174801,432000014.9,4815259.49109
kb-no-exc,304362716.,nan,304577349.,nan,294785784.143,3799115.3405
lexifi-g2pp,9821883957.,2621356.56073,9834937481.,8418056.6572,9723940090.33,59303359.3156
menhir-fancy,15210762.2167,1433655.39775,15048530.9699,168718.000259,10434382.0417,221354.118024
menhir-sql,3279154518.,nan,3305068893.,nan,3177461597.25,50941038.6392
menhir-standard,11407692.0769,69460.0715977,11477118.9169,92759.9051938,7806129.76413,151159.31672
minilight,14639879732.3,34873206.1952,14645574524.,1628434.39016,12490271602.,26246541.3624
numal-durand-kerner-aberth,82199081.6939,235215.485242,82225682.1429,246940.999261,77067556.3269,222753.890674
numal-fft,2331293258.67,13137687.1057,2356788833.67,15224874.5473,2206713657.67,6296821.15662
numal-k-means,89749567.7778,718762.782053,89973741.3333,847996.406454,77504811.2885,1108790.1223
numal-levinson-durbin,1521551209.,4738843.04378,1520001585.67,1257978.5418,1407916379.67,142814.932715
numal-lu-decomposition,855316024.6,5934127.53017,852970779.2,5823612.42969,772647500.333,15914299.7722
numal-naive-multilayer,2517201567.67,16785925.2161,2508613879.67,12382475.5146,2364273245.5,1985480.18115
numal-qr-decomposition,1145375455.,705183.13095,1146520379.,2221670.25824,1174041700.25,514929.434392
numal-rnd_access,5317975296.5,1797625.95102,5316989421.,6941025.06547,4021107855.33,8968743.77807
numal-simple_access,2239399079.,22015769.9889,2241531986.25,23680139.7614,2975990111.67,5427658.98428
patdiff,,,,,221418461.632,5783641.41577
sauvola-contrast,,,,,1783978.,nan
sequence,819456846.6,1154315.67429,820129881.6,1327453.19073,844916791.2,1033145.10549
sequence-cps,1130065171.25,4396797.0354,1130815763.75,4597735.35614,876578357.4,20375203.2314
setrip,967863655.2,4584405.47802,970996682.4,8994283.61158,892299574.2,2591353.32049
setrip-smallbuf,963974354.,10829688.171,964956023.2,10352297.448,892125405.2,9041939.89655

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,792024.,0.,792024.,0.,722441.,0.
bdd,824677.,0.,824677.,0.,748542.,0.
cpdf-merge,5425968.,0.,5425968.,0.,4914923.,0.
cpdf-reformat,5425968.,0.,5425968.,0.,4914923.,0.
cpdf-squeeze,5425968.,0.,5425968.,0.,4914923.,0.
cpdf-transform,5425968.,0.,5425968.,0.,4914923.,0.
frama-c-deflate,,,,,14161081.,0.
frama-c-idct,,,,,14161081.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1406209.,0.
kb,863622.,0.,863622.,0.,787631.,0.
kb-no-exc,867613.,0.,867613.,0.,791390.,0.
lexifi-g2pp,1001736.,0.,1001736.,0.,902335.,0.
menhir-fancy,3971787.,0.,3971819.,0.,3274517.,0.
menhir-sql,3971787.,0.,3971819.,0.,3274517.,0.
menhir-standard,3971787.,0.,3971819.,0.,3274517.,0.
minilight,1615920.,0.,1615920.,0.,1337342.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,844422.,0.
numal-fft,821121.,0.,821121.,0.,746026.,0.
numal-k-means,13645391.,0.,13645391.,0.,8398720.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,503251.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1210786.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1074833.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,918732.,0.
numal-rnd_access,517388.,0.,517388.,0.,458023.,0.
numal-simple_access,423471.,0.,423471.,0.,387684.,0.
patdiff,,,,,18398479.,0.
sauvola-contrast,,,,,1935177.,0.
sequence,953978.,0.,953978.,0.,859363.,0.
sequence-cps,768825.,0.,768825.,0.,704194.,0.
setrip,1368581.,0.,1368581.,0.,1167971.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,606068.,0.,606068.,0.,528085.,0.
bdd,638145.,0.,638145.,0.,554346.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3124099.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3124099.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3124099.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3124099.,0.
frama-c-deflate,,,,,10199177.,0.
frama-c-idct,,,,,10199177.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1061489.,0.
kb,667682.,0.,667682.,0.,583483.,0.
kb-no-exc,670937.,0.,670937.,0.,586538.,0.
