time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1668511139.,1153009.90427,1683308222.75,21801411.1847,1599392039.67,1284444.53196
bdd,208029728.35,2666655.85568,206341797.3,1450804.04937,191085865.905,1134961.63749
cpdf-merge,6024063454.,nan,5365031446.,nan,4129077601.67,18273285.7467
cpdf-reformat,7890050070.,nan,7578987436.,nan,6548347163.33,32083623.5897
cpdf-squeeze,12119591348.3,70792418.3562,11543980923.7,31100541.0561,9406965257.67,30363642.3715
cpdf-transform,2169242431.,5083165.60634,2099140015.,1943785.62979,2146956362.67,13830687.2993
frama-c-deflate,,,,,26358530249.5,14373190.5427
frama-c-idct,,,,,179988482.,nan
jsontrip-sample,17720238.646,319623.677503,17855488.9689,306482.779478,14522714.6884,373332.237715
kb,470170602.222,3673756.71837,463170474.444,7830754.06902,434400533.8,6733775.13522
kb-no-exc,310019219.,nan,303241027.,nan,293054907.429,2317908.83555
lexifi-g2pp,9924123104.33,254104089.513,9861647422.67,25722031.2321,9734093210.6,151110843.721
menhir-fancy,15164100.0265,170973.448154,15449970.9421,1942223.08986,10426595.2969,153314.810894
menhir-sql,3429182667.,nan,3286067311.,nan,3133764438.67,9665771.47057
menhir-standard,11403898.9772,77052.465808,11473617.6275,108572.772567,7722392.26062,77623.6305712
minilight,14534170523.7,34243268.2459,14636904372.,60553488.0151,12475649605.,538873.35002
numal-durand-kerner-aberth,82064858.3469,332190.105032,82119096.3061,268385.708348,76987005.0385,264793.277042
numal-fft,2358236552.33,9301481.46268,2351925695.,8035381.7282,2227803188.5,2230850.47686
numal-k-means,89492935.1333,782723.89071,89632319.6889,736306.664985,77870040.4231,1533953.01784
numal-levinson-durbin,1482173338.67,411744.428893,1519295679.,379844.244462,1410348617.,4105256.56332
numal-lu-decomposition,850945366.4,1238361.40376,852946298.2,3086958.58944,771510962.,16182951.7755
numal-naive-multilayer,2537426688.25,21328262.7497,2501402360.33,4732971.43894,2366321089.,628759.349831
